t_s,r
8.791999999999999815e+00,9.688533948402128226e-01
8.793000000000001037e+00,9.688671828459076707e-01
8.794000000000000483e+00,9.688808971815435767e-01
8.794999999999999929e+00,9.688945382584153165e-01
8.795999999999999375e+00,9.689081064472612193e-01
8.797000000000000597e+00,9.689216020166186993e-01
8.798000000000000043e+00,9.689350254705220156e-01
8.798999999999999488e+00,9.689483769263911306e-01
8.800000000000000711e+00,9.689616570616971236e-01
8.801000000000000156e+00,9.689748658456824870e-01
8.801999999999999602e+00,9.689880039334239914e-01
8.803000000000000824e+00,9.690010717179527999e-01
8.804000000000000270e+00,9.690140696220483907e-01
8.804999999999999716e+00,9.690269982017538641e-01
8.806000000000000938e+00,9.690398575767202871e-01
8.807000000000000384e+00,9.690526485265840151e-01
8.807999999999999829e+00,9.690653714726055190e-01
8.809000000000001052e+00,9.690780270230962001e-01
8.810000000000000497e+00,9.690906155693288504e-01
8.810999999999999943e+00,9.691031378000981578e-01
8.811999999999999389e+00,9.691155945485135925e-01
8.813000000000000611e+00,9.691279860377530753e-01
8.814000000000000057e+00,9.691403127979296706e-01
8.814999999999999503e+00,9.691525753391794229e-01
8.816000000000000725e+00,9.691647743370268575e-01
8.817000000000000171e+00,9.691769103974057220e-01
8.817999999999999616e+00,9.691889842993963722e-01
8.819000000000000838e+00,9.692009963411499784e-01
8.820000000000000284e+00,9.692129475073237854e-01
8.820999999999999730e+00,9.692248385267111521e-01
8.822000000000000952e+00,9.692366700337607943e-01
8.823000000000000398e+00,9.692484424953364819e-01
8.823999999999999844e+00,9.692601567584649969e-01
8.825000000000001066e+00,9.692718133838561512e-01
8.826000000000000512e+00,9.692834132671264147e-01
8.826999999999999957e+00,9.692949571280782273e-01
8.827999999999999403e+00,9.693064458105425940e-01
8.829000000000000625e+00,9.693178798722468237e-01
8.830000000000000071e+00,9.693292600944768411e-01
8.830999999999999517e+00,9.693405871512410510e-01
8.832000000000000739e+00,9.693518618104481899e-01
8.833000000000000185e+00,9.693630849123359150e-01
8.833999999999999631e+00,9.693742571745722625e-01
8.835000000000000853e+00,9.693853796591035410e-01
8.836000000000000298e+00,9.693964530666927537e-01
8.836999999999999744e+00,9.694074784240717113e-01
8.838000000000000966e+00,9.694184561448542237e-01
8.839000000000000412e+00,9.694293873207715517e-01
8.839999999999999858e+00,9.694402727596711511e-01
8.840999999999999304e+00,9.694511132284424626e-01
8.842000000000000526e+00,9.694619097441278255e-01
8.842999999999999972e+00,9.694726630061614170e-01
8.843999999999999417e+00,9.694833739062554967e-01
8.845000000000000639e+00,9.694940432220460202e-01
8.846000000000000085e+00,9.695046714508970265e-01
8.846999999999999531e+00,9.695152600614863614e-01
8.848000000000000753e+00,9.695258096235737089e-01
8.849000000000000199e+00,9.695363213313115125e-01
8.849999999999999645e+00,9.695467959006706105e-01
8.851000000000000867e+00,9.695572345167974282e-01
8.852000000000000313e+00,9.695676377581029515e-01
8.852999999999999758e+00,9.695780065934458403e-01
8.854000000000000981e+00,9.695883414780787080e-01
8.855000000000000426e+00,9.695986435249166480e-01
8.855999999999999872e+00,9.696089139338794904e-01
8.856999999999999318e+00,9.696191530975898365e-01
8.858000000000000540e+00,9.696293622920768573e-01
8.858999999999999986e+00,9.696395423594386109e-01
8.859999999999999432e+00,9.696496938841387969e-01
8.861000000000000654e+00,9.696598179626040315e-01
8.862000000000000099e+00,9.696699157045103323e-01
8.862999999999999545e+00,9.696799880056236054e-01
8.864000000000000767e+00,9.696900355988425924e-01
8.865000000000000213e+00,9.697000594505296167e-01
8.865999999999999659e+00,9.697100604751700548e-01
8.867000000000000881e+00,9.697200398865148951e-01
8.868000000000000327e+00,9.697299984505878268e-01
8.868999999999999773e+00,9.697399369519082990e-01
8.870000000000000995e+00,9.697498560283227542e-01
8.871000000000000441e+00,9.697597569048508337e-01
8.871999999999999886e+00,9.697696403740126980e-01
8.872999999999999332e+00,9.697795071953483337e-01
8.874000000000000554e+00,9.697893582703493998e-01
8.875000000000000000e+00,9.697991944504981143e-01
8.875999999999999446e+00,9.698090165556927378e-01
8.877000000000000668e+00,9.698188256391925277e-01
8.878000000000000114e+00,9.698286224899473895e-01
8.878999999999999559e+00,9.698384078128907682e-01
8.880000000000000782e+00,9.698481829568045276e-01
8.881000000000000227e+00,9.698579483040118410e-01
8.881999999999999673e+00,9.698677046796936319e-01
8.883000000000000895e+00,9.698774530840752472e-01
8.884000000000000341e+00,9.698871941780046191e-01
8.884999999999999787e+00,9.698969287250002180e-01
8.886000000000001009e+00,9.699066576874787460e-01
8.887000000000000455e+00,9.699163819606294590e-01
8.887999999999999901e+00,9.699261022596573634e-01
8.888999999999999346e+00,9.699358193595655209e-01
8.890000000000000568e+00,9.699455339367391016e-01
8.891000000000000014e+00,9.699552468667594907e-01
8.891999999999999460e+00,9.699649588446477289e-01
8.893000000000000682e+00,9.699746705079153042e-01
8.894000000000000128e+00,9.699843824379381640e-01
8.894999999999999574e+00,9.699940956948115423e-01
8.896000000000000796e+00,9.700038107624520123e-01
8.897000000000000242e+00,9.700135283865882752e-01
8.897999999999999687e+00,9.700232492481195568e-01
8.899000000000000909e+00,9.700329742712943126e-01
8.900000000000000355e+00,9.700427040142232116e-01
8.900999999999999801e+00,9.700524395742359252e-01
8.902000000000001023e+00,9.700621809103165960e-01
8.903000000000000469e+00,9.700719292411265071e-01
8.903999999999999915e+00,9.700816851820664999e-01
8.904999999999999361e+00,9.700914489422773901e-01
8.906000000000000583e+00,9.701012214950577306e-01
8.907000000000000028e+00,9.701110031187931693e-01
8.907999999999999474e+00,9.701207945231326013e-01
8.909000000000000696e+00,9.701305964244538727e-01
8.910000000000000142e+00,9.701404093324761391e-01
8.910999999999999588e+00,9.701502336641133484e-01
8.912000000000000810e+00,9.701600700972509150e-01
8.913000000000000256e+00,9.701699188293770870e-01
8.913999999999999702e+00,9.701797808177532456e-01
