freq_Hz,PSD
3.149414062500347100e+01,4.401031570697530060e-14
3.173828125000349587e+01,4.180765780828959595e-14
3.198242187500352429e+01,3.973361678207464141e-14
3.222656250000355271e+01,3.777962158397230560e-14
3.247070312500357403e+01,3.593774206624090789e-14
3.271484375000360245e+01,3.420063585765797085e-14
3.295898437500363087e+01,3.256150025211235674e-14
3.320312500000365930e+01,3.101402825445584997e-14
3.344726562500368772e+01,2.955236845008481725e-14
3.369140625000370903e+01,2.817108880963807950e-14
3.393554687500373745e+01,2.686514318389935243e-14
3.417968750000376588e+01,2.562984095612772221e-14
3.442382812500379430e+01,2.446081958339470970e-14
3.466796875000381561e+01,2.335401866549086814e-14
3.491210937500384404e+01,2.230565729161726203e-14
3.515625000000387246e+01,2.131221238661524755e-14
3.540039062500390088e+01,2.037039935541098781e-14
3.564453125000392930e+01,1.947715417931490646e-14
3.588867187500395062e+01,1.862961707204903121e-14
3.613281250000397904e+01,1.782511714615704689e-14
3.637695312500400746e+01,1.706115911122907358e-14
3.662109375000403588e+01,1.633540973396875702e-14
3.686523437500406430e+01,1.564568685062616012e-14
3.710937500000408562e+01,1.498994821712056074e-14
3.735351562500411404e+01,1.436628156090861643e-14
3.759765625000414246e+01,1.377289546872274924e-14
3.784179687500417089e+01,1.320811093457150949e-14
3.808593750000419220e+01,1.267035352754680887e-14
3.833007812500422062e+01,1.215814608520065671e-14
3.857421875000424905e+01,1.167010227737979025e-14
3.881835937500427747e+01,1.120492012550753479e-14
3.906250000000430589e+01,1.076137645317378739e-14
3.930664062500432721e+01,1.033832184499838125e-14
3.955078125000435563e+01,9.934675078084039129e-15
3.979492187500438405e+01,9.549419386839591074e-15
4.003906250000441247e+01,9.181597613877325086e-15
4.028320312500444089e+01,8.830308665690541178e-15
4.052734375000446221e+01,8.494703811046767014e-15
4.077148437500449063e+01,8.173983134669612211e-15
4.101562500000451905e+01,7.867392702893456345e-15
4.125976562500454747e+01,7.574221409116879668e-15
4.150390625000456879e+01,7.293798358008232526e-15
4.174804687500459721e+01,7.025490376225091943e-15
4.199218750000462563e+01,6.768699575993309787e-15
4.223632812500465405e+01,6.522861295551689299e-15
4.248046875000468248e+01,6.287441904436211285e-15
4.272460937500470379e+01,6.061937014281007514e-15
4.296875000000473221e+01,5.845869692849436318e-15
4.321289062500476064e+01,5.638788789725110854e-15
4.345703125000478906e+01,5.440267329309006002e-15
4.370117187500481748e+01,5.249901218375117865e-15
4.394531250000483880e+01,5.067307740753643304e-15
4.418945312500486722e+01,4.892124388180483154e-15
4.443359375000489564e+01,4.724007640544110943e-15
4.467773437500492406e+01,4.562631895107488809e-15
4.492187500000494538e+01,4.407688334635601426e-15
4.516601562500497380e+01,4.258884216663596739e-15
4.541015625000500222e+01,4.115941508498628197e-15
4.565429687500503064e+01,3.978596612518342417e-15
4.589843750000505906e+01,3.846599004341304308e-15
4.614257812500508038e+01,3.719710913974968816e-15
4.638671875000510880e+01,3.597706432020023983e-15
4.663085937500513722e+01,3.480370799240834229e-15
4.687500000000516565e+01,3.367499960205250169e-15
4.711914062500519407e+01,3.258899848944149703e-15
4.736328125000521538e+01,3.154385840468065023e-15
4.760742187500524381e+01,3.053782348705149970e-15
4.785156250000527223e+01,2.956922220566368534e-15
4.809570312500530065e+01,2.863646340866378488e-15
4.833984375000532197e+01,2.773803220052868709e-15
4.858398437500535039e+01,2.687248523962555911e-15
4.882812500000537881e+01,2.603844783878398798e-15
