t,J,phi,r
7.773000000000000576e+00,-2.371681719795017962e-01,3.337332733460324522e-04,9.422144015122473348e-01
7.774000000000000021e+00,-2.132164314749233069e-01,2.368090498071204393e-04,9.422462015106158884e-01
7.775000000000000355e+00,-1.894574535076718469e-01,1.396657981774367954e-04,9.422779316587531762e-01
7.775999999999999801e+00,-1.659083388253298486e-01,4.232765331761386470e-05,9.423095917792944087e-01
7.777000000000000135e+00,-1.425858230436383711e-01,-5.518145776525802416e-05,9.423411819865848971e-01
7.778000000000000469e+00,-1.195062617916298198e-01,-1.528378327582795575e-04,9.423727018764209706e-01
7.778999999999999915e+00,-9.668561628842320399e-02,-2.506180105033888809e-04,9.424041516261841833e-01
7.780000000000000249e+00,-7.413943936576050664e-02,-3.484987870634936803e-04,9.424355313239750620e-01
7.781000000000000583e+00,-5.188286194936342355e-02,-4.464572313800011351e-04,9.424668406907795726e-01
7.782000000000000028e+00,-2.993058001158266368e-02,-5.444707005081878297e-04,9.424980802868047070e-01
7.783000000000000362e+00,-8.296842007983085132e-03,-6.425168544172336731e-04,9.425292498932051899e-01
7.783999999999999808e+00,1.300456319072973432e-02,-7.405736703423311355e-04,9.425603497241964446e-01
7.785000000000000142e+00,3.396031786027386978e-02,-8.386194566766577273e-04,9.425913801647810564e-01
7.786000000000000476e+00,5.455758646671737822e-02,-9.366328663916327667e-04,9.426223412390529743e-01
7.786999999999999922e+00,7.478402618312707251e-02,-1.034592909974302918e-03,9.426532331393916442e-01
7.788000000000000256e+00,9.462779686911437782e-02,-1.132478967871271324e-03,9.426840559185497570e-01
7.789000000000000590e+00,1.140775705038679089e-01,-1.230270802429126939e-03,9.427148099984820062e-01
7.790000000000000036e+00,1.331225400647662593e-01,-1.327948569321849232e-03,9.427454959608724261e-01
7.791000000000000369e+00,1.517524278432308416e-01,-1.425492828456267121e-03,9.427761137722505680e-01
7.791999999999999815e+00,1.699574931903067299e-01,-1.522884554347150388e-03,9.428066634933413015e-01
7.793000000000000149e+00,1.877285396857377719e-01,-1.620105145954161673e-03,9.428371455338470097e-01
7.794000000000000483e+00,2.050569217235630459e-01,-1.717136435973398842e-03,9.428675602349209095e-01
7.794999999999999929e+00,2.219345505092937265e-01,-1.813960699576896941e-03,9.428979082224528963e-01
7.796000000000000263e+00,2.383538994633352948e-01,-1.910560662594027771e-03,9.429281899701247305e-01
7.797000000000000597e+00,2.543080090260639858e-01,-2.006919509129328778e-03,9.429584055864169700e-01
7.798000000000000043e+00,2.697904908611455932e-01,-2.103020888611900358e-03,9.429885557959319931e-01
7.799000000000000377e+00,2.847955314536881333e-01,-2.198848922272117826e-03,9.430186410194874025e-01
7.799999999999999822e+00,2.993178951004259458e-01,-2.294388209041984747e-03,9.430486618227852391e-01
7.801000000000000156e+00,3.133529262904107826e-01,-2.389623830876123987e-03,9.430786187154343025e-01
7.802000000000000490e+00,3.268965514744449630e-01,-2.484541357490926885e-03,9.431085123228174494e-01
7.802999999999999936e+00,3.399452802228159487e-01,-2.579126850520087680e-03,9.431383431484766655e-01
7.804000000000000270e+00,3.524962057708673768e-01,-2.673366867085284586e-03,9.431681119503518840e-01
7.805000000000000604e+00,3.645470049532547052e-01,-2.767248462781445473e-03,9.431978190964392939e-01
7.806000000000000050e+00,3.760959375278472017e-01,-2.860759194076607694e-03,9.432274654431498373e-01
7.807000000000000384e+00,3.871418448908021670e-01,-2.953887120127006091e-03,9.432570516652298842e-01
7.807999999999999829e+00,3.976841481855141192e-01,-3.046620804008653375e-03,9.432865779117660665e-01
7.809000000000000163e+00,4.077228458081919582e-01,-3.138949313367256876e-03,9.433160453246576260e-01
7.810000000000000497e+00,4.172585103134458517e-01,-3.230862220488930642e-03,9.433454543014924143e-01
7.810999999999999943e+00,4.262922847244344782e-01,-3.322349601794786795e-03,9.433748057310531454e-01
7.812000000000000277e+00,4.348258782520570964e-01,-3.413402036763046443e-03,9.434041000960899925e-01
7.812999999999999723e+00,4.428615614284570068e-01,-3.504010606282941930e-03,9.434333384932453992e-01
7.814000000000000057e+00,4.504021606611534612e-01,-3.594166890445243349e-03,9.434625216621169708e-01
7.815000000000000391e+00,4.574510522138424129e-01,-3.683862965774855908e-03,9.434916507371013950e-01
7.815999999999999837e+00,4.640121556213133713e-01,-3.773091401911450420e-03,9.435207263173110981e-01
7.817000000000000171e+00,4.700899265460991017e-01,-3.861845257744750490e-03,9.435497492722038082e-01
7.818000000000000504e+00,4.756893490847806660e-01,-3.950118077011557580e-03,9.435787205489142293e-01
7.818999999999999950e+00,4.808159275331245208e-01,-4.037903883362232993e-03,9.436076409793162645e-01
7.820000000000000284e+00,4.854756776191329060e-01,-4.125197174904835992e-03,9.436365110723935468e-01
7.820999999999999730e+00,4.896751172137772112e-01,-4.211992918235716102e-03,9.436653320812357082e-01
7.822000000000000064e+00,4.934212565300105102e-01,-4.298286541965797014e-03,9.436941048745229876e-01
7.823000000000000398e+00,4.967215878208742219e-01,-4.384073929752416166e-03,9.437228303024556286e-01
7.823999999999999844e+00,4.995840745877657696e-01,-4.469351412846946613e-03,9.437515095215129879e-01
7.825000000000000178e+00,5.020171403111806097e-01,-4.554115762169078790e-03,9.437801432089997222e-01
7.826000000000000512e+00,5.040296567160370556e-01,-4.638364179918978009e-03,9.438087325032092911e-01
7.826999999999999957e+00,5.056309315843887653e-01,-4.722094290739085182e-03,9.438372785217763461e-01
7.828000000000000291e+00,5.068306961287004642e-01,-4.805304132437770645e-03,9.438657823050701223e-01
7.828999999999999737e+00,5.076390919396621682e-01,-4.887992146287462036e-03,9.438942448492786408e-01
7.830000000000000071e+00,5.080666575223541370e-01,-4.970157166910313049e-03,9.439226675450635984e-01
7.831000000000000405e+00,5.081243144353744245e-01,-5.051798411764930018e-03,9.439510512237229145e-01
7.831999999999999851e+00,5.078233530478659663e-01,-5.132915470247991635e-03,9.439793969615578595e-01
7.833000000000000185e+00,5.071754179298754162e-01,-5.213508292425059372e-03,9.440077059998683850e-01
7.834000000000000519e+00,5.061924928913289490e-01,-5.293577177405210145e-03,9.440359793145525202e-01
7.834999999999999964e+00,5.048868856859884957e-01,-5.373122761374461015e-03,9.440642180572669240e-01
7.836000000000000298e+00,5.032712123965813467e-01,-5.452146005303344298e-03,9.440924234688014005e-01
7.836999999999999744e+00,5.013583815176747560e-01,-5.530648182344236920e-03,9.441205966894771207e-01
7.838000000000000078e+00,4.991615777533494058e-01,-5.608630864934440775e-03,9.441487385043096925e-01
7.839000000000000412e+00,4.966942455469074424e-01,-5.686095911621215533e-03,9.441768502001214314e-01
7.839999999999999858e+00,4.939700723599601551e-01,-5.763045453625294939e-03,9.442049329103904265e-01
7.841000000000000192e+00,4.910029717187924247e-01,-5.839481881159629302e-03,9.442329879213562371e-01
7.842000000000000526e+00,4.878070660458233565e-01,-5.915407829520370926e-03,9.442610163108139387e-01
7.842999999999999972e+00,4.843966692943587615e-01,-5.990826164967289272e-03,9.442890191681707623e-01
7.844000000000000306e+00,4.807862694051965868e-01,-6.065739970411037664e-03,9.443169978149672517e-01
7.844999999999999751e+00,4.769905106032138464e-01,-6.140152530924869456e-03,9.443449534973572534e-01
7.846000000000000085e+00,4.730241755528855063e-01,-6.214067319098546399e-03,9.443728875504272535e-01
7.847000000000000419e+00,4.689021673917198596e-01,-6.287487980252336357e-03,9.444008011845208550e-01
7.847999999999999865e+00,4.646394916599898561e-01,-6.360418317529081648e-03,9.444286954845215742e-01
7.849000000000000199e+00,4.602512381462040003e-01,-6.432862276882554339e-03,9.444565718841130275e-01
7.850000000000000533e+00,4.557525626675849595e-01,-6.504823931980189058e-03,9.444844313829440230e-01
7.850999999999999979e+00,4.511586688041979709e-01,-6.576307469038564051e-03,9.445122755165205053e-01
7.852000000000000313e+00,4.464847896060959442e-01,-6.647317171609889302e-03,9.445401050237629548e-01
7.852999999999999758e+00,4.417461692931121675e-01,-6.717857405337883739e-03,9.445679214320893413e-01
7.854000000000000092e+00,4.369580449659593580e-01,-6.787932602701394862e-03,9.445957263468973686e-01
7.855000000000000426e+00,4.321356283480218829e-01,-6.857547247764101198e-03,9.446235207821572777e-01
7.855999999999999872e+00,4.272940875772417435e-01,-6.926705860948617101e-03,9.446513060585455257e-01
