freq_Hz,PSD
3.759765625000414246e+01,1.175502216102266227e-19
3.784179687500417089e+01,1.129964600636141048e-19
3.808593750000419220e+01,1.086477190940687348e-19
3.833007812500422062e+01,1.044934891394070298e-19
3.857421875000424905e+01,1.005238642462315755e-19
3.881835937500427747e+01,9.672950410155250819e-20
3.906250000000430589e+01,9.310159804278253251e-20
3.930664062500432721e+01,8.963183182972647554e-20
3.955078125000435563e+01,8.631235683064891595e-20
3.979492187500438405e+01,8.313576094171938775e-20
4.003906250000441247e+01,8.009504187557880790e-20
4.028320312500444089e+01,7.718358189498663203e-20
4.052734375000446221e+01,7.439512471319946714e-20
4.077148437500449063e+01,7.172375334439060737e-20
4.101562500000451905e+01,6.916386983712517184e-20
4.125976562500454747e+01,6.671017635685288414e-20
4.150390625000456879e+01,6.435765714946183733e-20
4.174804687500459721e+01,6.210156208353316407e-20
4.199218750000462563e+01,5.993739098403897101e-20
4.223632812500465405e+01,5.786087913852062794e-20
4.248046875000468248e+01,5.586798357406760223e-20
4.272460937500470379e+01,5.395487032148664147e-20
4.296875000000473221e+01,5.211790260113654542e-20
4.321289062500476064e+01,5.035362928335871915e-20
4.345703125000478906e+01,4.865877469824377223e-20
4.370117187500481748e+01,4.703022857243393756e-20
4.394531250000483880e+01,4.546503688900684256e-20
4.418945312500486722e+01,4.396039312785084522e-20
4.443359375000489564e+01,4.251363011236747305e-20
4.467773437500492406e+01,4.112221243370606766e-20
4.492187500000494538e+01,3.978372912150388431e-20
4.516601562500497380e+01,3.849588696851501933e-20
4.541015625000500222e+01,3.725650415634025412e-20
4.565429687500503064e+01,3.606350418841817361e-20
4.589843750000505906e+01,3.491491038418845567e-20
4.614257812500508038e+01,3.380884044823994885e-20
4.638671875000510880e+01,3.274350150759713568e-20
4.663085937500513722e+01,3.171718552062756822e-20
4.687500000000516565e+01,3.072826466696358838e-20
4.711914062500519407e+01,2.977518727159838888e-20
4.736328125000521538e+01,2.885647381811383506e-20
4.760742187500524381e+01,2.797071331814818656e-20
4.785156250000527223e+01,2.711655968401854633e-20
4.809570312500530065e+01,2.629272845027395627e-20
4.833984375000532197e+01,2.549799374303409250e-20
4.858398437500535039e+01,2.473118518557293566e-20
4.882812500000537881e+01,2.399118522727608209e-20
4.907226562500540723e+01,2.327692640017434104e-20
4.931640625000543565e+01,2.258738896950527428e-20
4.956054687500545697e+01,2.192159841668566230e-20
4.980468750000548539e+01,2.127862333774127198e-20
5.004882812500551381e+01,2.065757326023033306e-20
5.029296875000554223e+01,2.005759670671755448e-20
5.053710937500557066e+01,1.947787923764934203e-20
5.078125000000559197e+01,1.891764174135651628e-20
5.102539062500562039e+01,1.837613868575968494e-20
5.126953125000564881e+01,1.785265650791974971e-20
5.151367187500567724e+01,1.734651215364619767e-20
5.175781250000569855e+01,1.685705157564274491e-20
5.200195312500572697e+01,1.638364839739961865e-20
5.224609375000575540e+01,1.592570260612110207e-20
5.249023437500578382e+01,1.548263935742841364e-20
5.273437500000581224e+01,1.505390769737945588e-20
5.297851562500583356e+01,1.463897964751190221e-20
5.322265625000586198e+01,1.423734896402302963e-20
5.346679687500589040e+01,1.384853025295320295e-20
5.371093750000591882e+01,1.347205796028327696e-20
5.395507812500594724e+01,1.310748555728996554e-20
5.419921875000596856e+01,1.275438454823995572e-20
5.444335937500599698e+01,1.241234380216936398e-20
5.468750000000602540e+01,1.208096868009208001e-20
5.493164062500605382e+01,1.175988033420757683e-20
5.517578125000607514e+01,1.144871502015404502e-20
5.541992187500610356e+01,1.114712339920371742e-20
5.566406250000613198e+01,1.085476993726394604e-20
5.590820312500616041e+01,1.057133228473727676e-20
5.615234375000618883e+01,1.029650068604042542e-20
5.639648437500621014e+01,1.002997749584999333e-20
5.664062500000623857e+01,9.771476568622324976e-21
5.688476562500626699e+01,9.520722834551241547e-21
5.712890625000629541e+01,9.277451795410690869e-21
5.737304687500632383e+01,9.041409080893670539e-21
5.761718750000634515e+01,8.812350012531095237e-21
5.786132812500637357e+01,8.590039208546623995e-21
5.810546875000640199e+01,8.374250183157475635e-21
5.834960937500643041e+01,8.164764956487867521e-21
5.859375000000645173e+01,7.961373753761389423e-21
5.883789062500648015e+01,7.763874598995469992e-21
5.908203125000650857e+01,7.572073035999827617e-21
5.932617187500653699e+01,7.385781806718529597e-21
5.957031250000656541e+01,7.204820558067050027e-21
5.981445312500658673e+01,7.029015535640306865e-21
6.005859375000661515e+01,6.858199378955235176e-21
6.030273437500664357e+01,6.692210772733734471e-21
6.054687500000667200e+01,6.530894288894020328e-21
6.079101562500670042e+01,6.374100097341084558e-21
6.103515625000672173e+01,6.221683745364569810e-21
6.127929687500675016e+01,6.073505990784689081e-21
6.152343750000677858e+01,5.929432496004817681e-21
